Job Title,Skills,Certifications
Admin Big Data,"Hadoop, Spark, MapReduce, Data Lakes, Data Warehousing, Big Data Architecture, NoSQL, Data Modeling, ETL, Cloud Computing, AWS, Azure, Data Governance, Security","Cloudera Certified Professional (CCP), Hortonworks Certified Associate (HCA), AWS Certified Big Data – Specialty"
Ansible Operations Engineer,"Ansible, Linux, Automation, Cloud Platforms, CI/CD, Infrastructure as Code, Kubernetes, Docker, AWS, Terraform, Python, Scripting, Networking","Red Hat Certified Specialist in Ansible Automation, AWS Certified DevOps Engineer – Professional"
Artifactory Administrator,"Artifactory, CI/CD, Jenkins, Docker, Maven, Gradle, Build Automation, Version Control, Git, Cloud Computing, Linux, JFrog CLI","JFrog Artifactory Certification, DevOps Institute Certifications"
Artificial Intelligence / Machine Learning Leader,"AI Strategy, Machine Learning, Team Management, Project Management, Cloud Computing, Data Science, Deep Learning, Communication, Budgeting, Stakeholder Management","AI-900: Microsoft Azure AI Fundamentals, Certified Artificial Intelligence Practitioner (CAIP)"
Artificial Intelligence / Machine Learning Sr.Leader,"AI Strategy, Machine Learning, Team Management, Project Management, Cloud Computing, Data Science, Deep Learning, Communication, Budgeting, Stakeholder Management, Innovation, Mentoring","Certified Artificial Intelligence Practitioner (CAIP), AI-900: Microsoft Azure AI Fundamentals"
Artificial intelligence Architect,"AI Architecture, Machine Learning, Cloud Computing, Data Science, Deep Learning, System Design, AWS, Azure, Scalability, Security, Model Deployment","Google Cloud Professional Machine Learning Engineer, AWS Certified Solutions Architect – Professional"
Artificial Intelligence Researcher,"Machine Learning, Deep Learning, Research Methods, Python, TensorFlow, PyTorch, Data Analysis, Statistical Analysis, Algorithm Design, Scientific Writing","Certified Data Scientist (CDS), IEEE Certified Artificial Intelligence Engineer"
Big Data Architect,"Hadoop, Spark, Kafka, MapReduce, NoSQL, Data Warehousing, Cloud Computing, AWS, Azure, Data Lakes, Data Modeling, ETL, Data Governance, Security","Cloudera Certified Data Architect, AWS Certified Solutions Architect – Associate"
Big Data Engineer,"Hadoop, Spark, Kafka, SQL, NoSQL, Python, Java, Scala, Data Pipelines, ETL, Data Warehousing, Cloud Computing","Google Cloud Professional Data Engineer, AWS Certified Big Data – Specialty"
Big Data Specialist,"Hadoop, Spark, Data Analysis, Data Visualization, SQL, NoSQL, Data Modeling, ETL, Cloud Computing, Data Mining, Statistical Analysis","Certified Big Data Analytics (CBDA), IBM Certified Data Engineer - Big Data"
Build and Release Engineer,"CI/CD, Jenkins, Git, Maven, Gradle, Docker, Kubernetes, Automation, Scripting, Linux, Build Tools","Certified Jenkins Engineer, AWS Certified DevOps Engineer – Professional"
Build Engineer,"Maven, Gradle, Ant, Jenkins, CI/CD, Git, Build Automation, Scripting, Linux, Version Control","AWS Certified Developer – Associate, Jenkins Certification"
Chef Operations Engineer,"Chef, Ruby, Automation, Configuration Management, Linux, Cloud Computing, AWS, Azure, Infrastructure as Code","Chef Certification, AWS Certified DevOps Engineer – Professional"
Data Analysts,"SQL, Excel, Data Visualization, Power BI, Python, R, Statistics, Data Mining, Data Cleansing, Tableau, ETL, Data Modeling","Microsoft Certified: Data Analyst Associate, Tableau Desktop Specialist"
Data Architect,"Data Modeling, Data Warehousing, ETL, SQL, NoSQL, Data Governance, Cloud Computing, AWS, Azure, Data Integration, Data Security","IBM Certified Data Architect - Big Data, Google Cloud Professional Data Architect"
DevOps Architect,"Cloud Computing, AWS, Azure, Google Cloud, Docker, Kubernetes, Terraform, Ansible, CI/CD, Automation, Security, Networking","AWS Certified Solutions Architect – Professional, Google Cloud Professional DevOps Engineer"
DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS, Azure, Linux, Terraform, Ansible, Jenkins, Git, Automation, Networking, Python, Scripting, Cloud Computing","AWS Certified DevOps Engineer – Professional, Docker Certified Associate"
ELK Engineer,"Elasticsearch, Logstash, Kibana, Data Visualization, Log Management, Linux, AWS, Azure, Networking, Security","Elastic Certified Engineer, Elastic Stack Certification"
Gerrit Administrator,"Gerrit, Git, Code Review, Linux, Automation, Scripting, Version Control",Gerrit Code Review Certification (if available)
Jenkins Engineer,"Jenkins, CI/CD, Automation, Groovy, Scripting, Linux, Docker, Kubernetes, Build Automation, Version Control","Certified Jenkins Engineer, AWS Certified DevOps Engineer – Professional"
Jira Administrator,"Jira, Atlassian Suite, Agile Methodologies, Workflow Configuration, User Management, Project Management","Atlassian Jira Administration Certification, AgilePM Certification"
Kubernetes Operations Engineer,"Kubernetes, Docker, Linux, Cloud Computing, AWS, Azure, Networking, CI/CD, Automation, Security","Certified Kubernetes Administrator (CKA), CNCF Kubernetes Security Specialist (CKS)"
Machine learning Architect,"Machine Learning, Deep Learning, Cloud Computing, Data Science, System Design, AWS, Azure, Scalability, Security, Model Deployment","Google Cloud Professional Machine Learning Engineer, AWS Certified Machine Learning – Specialty"
Machine Learning Engineer,"Python, Machine Learning, TensorFlow, Keras, PyTorch, Data Analysis, Deep Learning, Natural Language Processing, Computer Vision, Data Science, Algorithms","Microsoft Certified: Azure Data Scientist Associate, TensorFlow Developer Certificate"
Operations Engineer,"Linux, Windows Server, Networking, Troubleshooting, Scripting, Automation, Cloud Computing, Monitoring, System Administration","ITIL Foundation Certification, CompTIA IT Fundamentals+"
Principle Engineer in Artificial Intelligence,"AI Strategy, Machine Learning, Deep Learning, Data Science, Python, TensorFlow, Cloud Computing, System Design, Mentoring, Innovation","AI-900: Microsoft Azure AI Fundamentals, Certified Artificial Intelligence Practitioner (CAIP)"
